price,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
321928.40208214946,0,3,1.0,890,9870,1.0,0,0,4,7,890,0,1960,0,98056,47.5398,-122.178,1270,9861
104758.75128736963,0,1,1.0,800,16306,1.0,0,0,2,6,680,120,1931,0,98168,47.4916,-122.308,1270,8666
290283.10653792863,0,3,2.5,1750,4200,2.0,0,0,3,7,1750,0,2005,0,98038,47.3605,-122.04,1890,4048
323138.29961369076,0,3,3.25,1510,1245,3.0,0,0,3,7,1510,0,2007,0,98133,47.7293,-122.343,1510,1245
341944.9248055043,0,3,1.75,1390,9585,1.0,0,0,4,7,1390,0,1973,0,98133,47.752,-122.35,1240,8188
566044.9218126885,1,4,1.75,3050,9440,1.0,0,0,3,8,1800,1250,1966,0,98034,47.7228,-122.183,2020,8660
380297.2766295578,1,3,1.0,1280,5460,1.5,0,0,4,7,1280,0,1931,0,98133,47.7321,-122.334,1390,5500
439307.6164013016,1,3,1.5,1250,8004,1.0,0,0,3,7,1250,0,1965,0,98008,47.6285,-122.117,1450,7931
261188.5699557148,0,4,1.0,1290,5000,1.5,0,0,3,7,1290,0,1957,0,98146,47.51300000000001,-122.358,1440,2500
284623.8070680559,1,3,2.5,1510,10875,1.0,0,0,3,7,1150,360,1990,0,98003,47.3482,-122.3,1810,9916
757287.5792533268,0,4,3.0,3150,7778,2.0,0,0,3,9,3150,0,2000,0,98075,47.5972,-122.018,2970,6500
304600.90870050533,0,3,1.0,1280,8184,1.5,0,0,4,6,1280,0,1947,0,98155,47.7467,-122.319,1120,8184
772649.8407892638,0,4,2.5,2910,9000,2.0,0,0,3,9,2910,0,1989,0,98006,47.5451,-122.142,2530,9000
394749.1943745282,1,4,2.25,2380,7700,2.0,0,0,4,8,2380,0,1977,0,98055,47.4391,-122.194,2100,7700
1286187.0790453132,0,3,2.25,3200,3800,2.0,0,0,5,9,2650,550,1914,0,98102,47.63800000000001,-122.317,2400,3900
297457.41191369196,1,3,2.25,2070,7995,1.0,0,0,3,7,1350,720,1987,0,98031,47.403,-122.175,1620,6799
174019.1698247764,0,3,1.0,1230,8750,1.0,0,0,3,6,1230,0,1965,0,98003,47.3266,-122.334,1230,8750
718652.7362162024,0,4,2.0,2530,5650,1.5,0,0,4,8,1910,620,1910,0,98116,47.5778,-122.382,1310,5750
662842.0544450649,0,2,1.5,1640,4080,1.5,0,0,5,7,1540,100,1916,0,98105,47.6624,-122.325,1880,4080
528020.7853450903,0,4,2.25,2300,4600,1.5,0,0,4,7,1340,960,1904,0,98144,47.5895,-122.311,1540,3000
228456.88012161193,1,3,1.0,1010,15701,1.0,0,0,4,7,1010,0,1949,0,98188,47.4518,-122.292,1260,9800
285321.86784526287,0,3,1.0,2120,31564,1.0,0,0,3,7,1220,900,1942,0,98168,47.4938,-122.298,1790,11571
383334.1940555032,0,3,2.5,1930,10460,2.0,0,0,3,8,1930,0,1996,0,98059,47.4938,-122.161,2290,8228
2603513.6741305506,1,4,3.75,5090,14823,1.0,0,0,3,11,4180,910,2013,0,98004,47.62,-122.207,3030,12752
270593.8352296693,1,3,1.5,1400,6865,1.0,0,0,4,7,1400,0,1986,0,98038,47.3639,-122.048,1480,8125
262822.72249136644,1,3,1.5,1450,6875,1.0,0,0,4,7,1450,0,1961,0,98198,47.4205,-122.316,1270,8000
247180.32735862696,0,3,2.5,1489,3266,2.0,0,0,3,7,1489,0,2014,0,98002,47.3452,-122.217,1537,3273
822578.4641511363,1,4,3.25,3230,5000,1.5,0,0,4,7,1750,1480,1916,0,98105,47.6702,-122.3,1730,4000
381750.250846003,0,4,1.5,1790,17925,1.0,0,0,4,6,1790,0,1951,0,98155,47.7501,-122.302,1660,15165
408936.81517032965,0,3,2.5,1800,2790,2.0,0,0,3,8,1800,0,2011,0,98126,47.5455,-122.371,1580,2036
157418.34175295406,0,2,1.0,830,8000,1.0,0,0,3,6,830,0,1954,0,98198,47.4215,-122.318,1300,8000
273255.50136530615,0,5,2.0,1750,10284,1.0,0,0,4,5,1750,0,1943,0,98056,47.5094,-122.182,1560,9010
391548.6165621729,0,3,1.5,1320,7201,1.0,0,0,3,7,1320,0,1971,0,98034,47.7126,-122.211,1380,7201
726699.7845106821,0,4,2.75,2390,9300,1.0,0,0,3,8,1430,960,1979,0,98004,47.6035,-122.206,1910,9348
663429.6195713211,0,4,1.75,1930,3876,1.5,0,0,5,7,1450,480,1924,0,98105,47.6604,-122.324,1280,3825
603577.6967062837,0,4,1.75,2470,131790,2.0,0,2,3,8,2470,0,1937,0,98070,47.4421,-122.444,1470,92747
